Aircraft ID,Registration,Aircraft Type,Status,Age (Years),Total Flight Hours,Cycles,Last Maintenance Date,Next Maintenance Date,Maintenance Type,Maintenance Interval (Days),Base Airport
BTK-001,PK-LBF,Boeing 737-900ER,Active,5.2,12450,4120,2024-01-10,2024-07-10,A-Check,180,CGK
BTK-002,PK-LBG,Boeing 737-900ER,Active,7.8,21300,7200,2024-02-15,2024-05-15,A-Check,90,CGK
BTK-003,PK-LBH,Boeing 737-900ER,In Maintenance,10.1,31200,10500,2024-03-01,2024-04-01,C-Check,365,UPG
BTK-004,PK-LBI,Boeing 737-900ER,Active,3.4,8900,2980,2024-01-20,2024-07-20,A-Check,180,SUB
BTK-005,PK-LBJ,Boeing 737-900ER,Active,8.5,24600,8300,2024-02-28,2024-05-28,B-Check,90,CGK
BTK-006,PK-LBK,Airbus A320-200,Active,6.1,17800,5900,2024-01-05,2024-07-05,A-Check,180,CGK
BTK-007,PK-LBL,Airbus A320-200,In Maintenance,11.3,34500,11200,2024-03-10,2024-04-10,C-Check,365,CGK
BTK-008,PK-LBM,Airbus A320-200,Active,4.7,13200,4400,2024-02-10,2024-08-10,A-Check,180,DPS
BTK-009,PK-LBN,Airbus A320-200,Active,9.2,27400,9100,2024-01-25,2024-04-25,B-Check,90,SUB
BTK-010,PK-LBO,Boeing 737-900ER,AOG,12.0,37800,12600,2024-03-05,2024-04-05,D-Check,365,CGK
BTK-011,PK-LBP,Boeing 737-800,Active,6.8,19500,6500,2024-02-01,2024-08-01,A-Check,180,CGK
BTK-012,PK-LBQ,Boeing 737-800,Active,5.5,15600,5200,2024-01-15,2024-07-15,A-Check,180,UPG
BTK-013,PK-LBR,Boeing 737-800,In Maintenance,8.9,25900,8600,2024-03-15,2024-06-15,B-Check,90,CGK
BTK-014,PK-LBS,Boeing 737-800,Active,4.2,11800,3950,2024-02-20,2024-08-20,A-Check,180,DPS
BTK-015,PK-LBT,Airbus A320neo,Active,2.1,5800,1930,2024-01-30,2024-07-30,A-Check,180,CGK
BTK-016,PK-LBU,Airbus A320neo,Active,1.8,4900,1640,2024-02-05,2024-08-05,A-Check,180,SUB
BTK-017,PK-LBV,Airbus A320neo,Active,3.0,8200,2740,2024-01-12,2024-07-12,A-Check,180,CGK
BTK-018,PK-LBW,Boeing 737-900ER,Grounded,13.5,42100,14000,2024-03-20,2024-05-20,C-Check,365,CGK
BTK-019,PK-LBX,Boeing 737-800,Active,7.4,21000,7000,2024-02-25,2024-05-25,A-Check,90,DPS
BTK-020,PK-LBY,Airbus A320-200,Active,5.9,16700,5570,2024-01-08,2024-07-08,A-Check,180,CGK
BTK-021,PK-LBZ,Boeing 737-900ER,Active,4.6,13000,4330,2024-02-12,2024-08-12,A-Check,180,UPG
BTK-022,PK-LCA,Airbus A320neo,In Maintenance,2.5,6800,2270,2024-03-18,2024-06-18,B-Check,90,CGK
BTK-023,PK-LCB,Boeing 737-800,Active,9.7,28600,9540,2024-01-22,2024-04-22,B-Check,90,SUB
BTK-024,PK-LCD,Boeing 737-900ER,Active,6.3,17900,5970,2024-02-08,2024-08-08,A-Check,180,CGK
BTK-025,PK-LCE,Airbus A320-200,Active,8.0,23100,7700,2024-01-18,2024-07-18,A-Check,180,DPS
